name	dex	types	gen	height_m	weight_kg
stunfisk	618	Ground/Electric	5	0.7	11.0
mienfoo	619	Fighting	5	0.9	20.0
mienshao	620	Fighting	5	1.4	35.5
druddigon	621	Dragon	5	1.6	139.0
golett	622	Ground/Ghost	5	1.0	92.0
golurk	623	Ground/Ghost	5	2.8	330.0
pawniard	624	Dark/Steel	5	0.5	10.2
bisharp	625	Dark/Steel	5	1.6	70.0
bouffalant	626	Normal	5	1.6	94.6
rufflet	627	Normal/Flying	5	0.5	10.5
braviary	628	Normal/Flying	5	1.5	41.0
vullaby	629	Dark/Flying	5	0.5	9.0
mandibuzz	630	Dark/Flying	5	1.2	39.5
heatmor	631	Fire	5	1.4	58.0
durant	632	Bug/Steel	5	0.3	33.0
deino	633	Dark/Dragon	5	0.8	17.3
zweilous	634	Dark/Dragon	5	1.4	50.0
hydreigon	635	Dark/Dragon	5	1.8	160.0
larvesta	636	Bug/Fire	5	1.1	28.8
volcarona	637	Bug/Fire	5	1.6	46.0
cobalion	638	Steel/Fighting	5	2.1	250.0
terrakion	639	Rock/Fighting	5	1.9	260.0
virizion	640	Grass/Fighting	5	2.0	200.0
tornadus	641	Flying	5	1.5	63.0
thundurus	642	Electric/Flying	5	1.5	61.0
reshiram	643	Dragon/Fire	5	3.2	330.0
zekrom	644	Dragon/Electric	5	2.9	345.0
landorus	645	Ground/Flying	5	1.5	68.0
kyurem	646	Dragon/Ice	5	3.0	325.0
keldeo	647	Water/Fighting	5	1.4	48.5
meloetta	648	Normal/Psychic	5	0.6	6.5
genesect	649	Bug/Steel	5	1.5	82.5
chespin	650	Grass	6	0.4	9.0
quilladin	651	Grass	6	0.7	29.0
chesnaught	652	Grass/Fighting	6	1.6	90.0
fennekin	653	Fire	6	0.4	9.4
braixen	654	Fire	6	1.0	14.5
delphox	655	Fire/Psychic	6	1.5	39.0
froakie	656	Water	6	0.3	7.0
frogadier	657	Water	6	0.6	10.9
greninja	658	Water/Dark	6	1.5	40.0
bunnelby	659	Normal	6	0.4	5.0
diggersby	660	Normal/Ground	6	1.0	42.4
fletchling	661	Normal/Flying	6	0.3	1.7
fletchinder	662	Fire/Flying	6	0.7	16.0
talonflame	663	Fire/Flying	6	1.2	24.5
scatterbug	664	Bug	6	0.3	2.5
spewpa	665	Bug	6	0.3	8.4
vivillon	666	Bug/Flying	6	1.2	17.0
litleo	667	Fire/Normal	6	0.6	13.5
pyroar	668	Fire/Normal	6	1.5	81.5
flabebe	669	Fairy	6	0.1	0.1
floette	670	Fairy	6	0.2	0.9
florges	671	Fairy	6	1.1	10.0
skiddo	672	Grass	6	0.9	31.0
gogoat	673	Grass	6	1.7	91.0
pancham	674	Fighting	6	0.6	8.0
pangoro	675	Fighting/Dark	6	2.1	136.0
furfrou	676	Normal	6	1.2	28.0
espurr	677	Psychic	6	0.3	3.5
meowstic	678	Psychic	6	0.6	8.5
honedge	679	Steel/Ghost	6	0.8	2.0
doublade	680	Steel/Ghost	6	0.8	4.5
aegislash	681	Steel/Ghost	6	1.7	53.0
spritzee	682	Fairy	6	0.2	0.5
aromatisse	683	Fairy	6	0.8	15.5
swirlix	684	Fairy	6	0.4	3.5
slurpuff	685	Fairy	6	0.8	5.0
inkay	686	Dark/Psychic	6	0.4	3.5
malamar	687	Dark/Psychic	6	1.5	47.0
binacle	688	Rock/Water	6	0.5	31.0
barbaracle	689	Rock/Water	6	1.3	96.0
skrelp	690	Poison/Water	6	0.5	7.3
dragalge	691	Poison/Dragon	6	1.8	81.5
clauncher	692	Water	6	0.5	8.3
clawitzer	693	Water	6	1.3	35.3
helioptile	694	Electric/Normal	6	0.5	6.0
heliolisk	695	Electric/Normal	6	1.0	21.0
tyrunt	696	Rock/Dragon	6	0.8	26.0
tyrantrum	697	Rock/Dragon	6	2.5	270.0
amaura	698	Rock/Ice	6	1.3	25.2
aurorus	699	Rock/Ice	6	2.7	225.0
sylveon	700	Fairy	6	1.0	23.5
hawlucha	701	Fighting/Flying	6	0.8	21.5
dedenne	702	Electric/Fairy	6	0.2	2.2
carbink	703	Rock/Fairy	6	0.3	5.7
goomy	704	Dragon	6	0.3	2.8
sliggoo	705	Dragon	6	0.8	17.5
goodra	706	Dragon	6	2.0	150.5
klefki	707	Steel/Fairy	6	0.2	3.0
phantump	708	Ghost/Grass	6	0.4	7.0
trevenant	709	Ghost/Grass	6	1.5	71.0
pumpkaboo	710	Ghost/Grass	6	0.4	5.0
gourgeist	711	Ghost/Grass	6	0.9	12.5
bergmite	712	Ice	6	1.0	99.5
avalugg	713	Ice	6	2.0	505.0
noibat	714	Flying/Dragon	6	0.5	8.0
noivern	715	Flying/Dragon	6	1.5	85.0
xerneas	716	Fairy	6	3.0	215.0
yveltal	717	Dark/Flying	6	5.8	203.0
zygarde	718	Dragon/Ground	6	5.0	305.0
diancie	719	Rock/Fairy	6	0.7	8.8
hoopa	720	Psychic/Ghost	6	0.5	9.0
volcanion	721	Fire/Water	6	1.7	195.0
rowlet	722	Grass/Flying	7	0.3	1.5
dartrix	723	Grass/Flying	7	0.7	16.0
decidueye	724	Grass/Ghost	7	1.6	36.6
litten	725	Fire	7	0.4	4.3
torracat	726	Fire	7	0.7	25.0
incineroar	727	Fire/Dark	7	1.8	83.0
popplio	728	Water	7	0.4	7.5
brionne	729	Water	7	0.6	17.5
primarina	730	Water/Fairy	7	1.8	44.0
pikipek	731	Normal/Flying	7	0.3	1.2
trumbeak	732	Normal/Flying	7	0.6	14.8
toucannon	733	Normal/Flying	7	1.1	26.0
yungoos	734	Normal	7	0.4	6.0
gumshoos	735	Normal	7	0.7	14.2
grubbin	736	Bug	7	0.4	4.4
charjabug	737	Bug/Electric	7	0.5	10.5
vikavolt	738	Bug/Electric	7	1.5	45.0
crabrawler	739	Fighting	7	0.6	7.0
crabominable	740	Fighting/Ice	7	1.7	180.0
oricorio	741	Fire/Flying	7	0.6	3.4
cutiefly	742	Bug/Fairy	7	0.1	0.2
ribombee	743	Bug/Fairy	7	0.2	0.5
rockruff	744	Rock	7	0.5	9.2
lycanroc	745	Rock	7	0.8	25.0
wishiwashi	746	Water	7	0.2	0.3
mareanie	747	Poison/Water	7	0.4	8.0
toxapex	748	Poison/Water	7	0.7	14.5
mudbray	749	Ground	7	1.0	110.0
mudsdale	750	Ground	7	2.5	920.0
dewpider	751	Water/Bug	7	0.3	4.0
araquanid	752	Water/Bug	7	1.8	82.0
fomantis	753	Grass	7	0.3	1.5
lurantis	754	Grass	7	0.9	18.5
morelull	755	Grass/Fairy	7	0.2	1.5
shiinotic	756	Grass/Fairy	7	1.0	11.5
salandit	757	Poison/Fire	7	0.6	4.8
salazzle	758	Poison/Fire	7	1.2	22.2
stufful	759	Normal/Fighting	7	0.5	6.8
bewear	760	Normal/Fighting	7	2.1	135.0
bounsweet	761	Grass	7	0.3	3.2
steenee	762	Grass	7	0.7	8.2
tsareena	763	Grass	7	1.2	21.4
comfey	764	Fairy	7	0.1	0.3
oranguru	765	Normal/Psychic	7	1.5	76.0
passimian	766	Fighting	7	2.0	82.8
wimpod	767	Bug/Water	7	0.5	12.0
golisopod	768	Bug/Water	7	2.0	108.0
sandygast	769	Ghost/Ground	7	0.5	70.0
palossand	770	Ghost/Ground	7	1.3	250.0
pyukumuku	771	Water	7	0.3	1.2
type-null	772	Normal	7	1.9	120.5
silvally	773	Normal	7	2.3	100.5
minior	774	Rock/Flying	7	0.3	40.0
komala	775	Normal	7	0.4	19.9
turtonator	776	Fire/Dragon	7	2.0	212.0
togedemaru	777	Electric/Steel	7	0.3	3.3
mimikyu	778	Ghost/Fairy	7	0.2	0.7
bruxish	779	Water/Psychic	7	0.9	19.0
drampa	780	Normal/Dragon	7	3.0	185.0
dhelmise	781	Ghost/Grass	7	3.9	210.0
jangmo-o	782	Dragon	7	0.6	29.7
hakamo-o	783	Dragon/Fighting	7	1.2	47.0
kommo-o	784	Dragon/Fighting	7	1.6	78.2
tapu-koko	785	Electric/Fairy	7	1.8	20.5
tapu-lele	786	Psychic/Fairy	7	1.2	18.6
tapu-bulu	787	Grass/Fairy	7	1.9	45.5
tapu-fini	788	Water/Fairy	7	1.3	21.2
cosmog	789	Psychic	7	0.2	0.1
cosmoem	790	Psychic	7	0.1	999.9
solgaleo	791	Psychic/Steel	7	3.4	230.0
lunala	792	Psychic/Ghost	7	4.0	120.0
nihilego	793	Rock/Poison	7	1.2	55.5
buzzwole	794	Bug/Fighting	7	2.4	333.6
pheromosa	795	Bug/Fighting	7	1.8	25.0
xurkitree	796	Electric	7	3.8	100.0
celesteela	797	Steel/Flying	7	9.2	999.9
kartana	798	Grass/Steel	7	0.3	0.1
guzzlord	799	Dark/Dragon	7	5.5	888.0
necrozma	800	Psychic	7	2.4	230.0
magearna	801	Steel/Fairy	7	1.0	80.5
marshadow	802	Fighting/Ghost	7	0.7	22.2
poipole	803	Poison	7	0.6	1.8
naganadel	804	Poison/Dragon	7	3.6	150.0
stakataka	805	Rock/Steel	7	5.5	820.0
blacephalon	806	Fire/Ghost	7	1.8	13.0
zeraora	807	Electric	7	1.5	44.5
meltan	808	Steel	7	0.2	8.0
melmetal	809	Steel	7	2.5	800.0
grookey	810	Grass	8	0.3	5.0
thwackey	811	Grass	8	0.7	14.0
rillaboom	812	Grass	8	2.1	90.0
scorbunny	813	Fire	8	0.3	4.5
raboot	814	Fire	8	0.6	9.0
cinderace	815	Fire	8	1.4	33.0
sobble	816	Water	8	0.3	4.0
drizzile	817	Water	8	0.7	11.5
inteleon	818	Water	8	1.9	45.2
skwovet	819	Normal	8	0.3	2.5
greedent	820	Normal	8	0.6	6.0
rookidee	821	Flying	8	0.2	1.8
corvisquire	822	Flying	8	0.8	16.0
corviknight	823	Flying/Steel	8	2.2	75.0
blipbug	824	Bug	8	0.4	8.0
dottler	825	Bug/Psychic	8	0.4	19.5
orbeetle	826	Bug/Psychic	8	0.4	40.8
nickit	827	Dark	8	0.6	8.9
thievul	828	Dark	8	1.2	19.9
gossifleur	829	Grass	8	0.4	2.2
eldegoss	830	Grass	8	0.5	2.5
wooloo	831	Normal	8	0.6	6.0
dubwool	832	Normal	8	1.3	43.0
chewtle	833	Water	8	0.3	8.5
drednaw	834	Water/Rock	8	1.0	115.5
yamper	835	Electric	8	0.3	13.5
boltund	836	Electric	8	1.0	34.0
rolycoly	837	Rock	8	0.3	12.0
carkol	838	Rock/Fire	8	1.1	78.0
coalossal	839	Rock/Fire	8	2.8	310.5
applin	840	Grass/Dragon	8	0.2	0.5
flapple	841	Grass/Dragon	8	0.3	1.0
appletun	842	Grass/Dragon	8	0.4	13.0
silicobra	843	Ground	8	2.2	7.6
sandaconda	844	Ground	8	3.8	65.5
cramorant	845	Flying/Water	8	0.8	18.0
arrokuda	846	Water	8	0.5	1.0
barraskewda	847	Water	8	1.3	30.0
toxel	848	Electric/Poison	8	0.4	11.0
toxtricity	849	Electric/Poison	8	1.6	40.0
sizzlipede	850	Fire/Bug	8	0.7	1.0
centiskorch	851	Fire/Bug	8	3.0	120.0
clobbopus	852	Fighting	8	0.6	4.0
grapploct	853	Fighting	8	1.6	39.0
sinistea	854	Ghost	8	0.1	0.2
polteageist	855	Ghost	8	0.2	0.4
hatenna	856	Psychic	8	0.4	3.4
hattrem	857	Psychic	8	0.6	4.8
hatterene	858	Psychic/Fairy	8	2.1	5.1
impidimp	859	Dark/Fairy	8	0.4	5.5
morgrem	860	Dark/Fairy	8	0.8	12.5
grimmsnarl	861	Dark/Fairy	8	1.5	61.0
obstagoon	862	Dark/Normal	8	1.6	46.0
perrserker	863	Steel	8	0.8	28.0
cursola	864	Ghost	8	1.0	0.4
sirfetchd	865	Fighting	8	0.8	117.0
mr-rime	866	Ice/Psychic	8	1.5	58.2
runerigus	867	Ground/Ghost	8	1.6	66.6
milcery	868	Fairy	8	0.2	0.3
alcremie	869	Fairy	8	0.3	0.5
falinks	870	Fighting	8	3.0	62.0
pincurchin	871	Electric	8	0.3	1.0
snom	872	Ice/Bug	8	0.3	3.8
frosmoth	873	Ice/Bug	8	1.3	42.0
stonjourner	874	Rock	8	2.5	520.0
eiscue	875	Ice	8	1.4	89.0
indeedee	876	Psychic/Normal	8	0.9	28.0
morpeko	877	Electric/Dark	8	0.3	3.0
cufant	878	Steel	8	1.2	100.0
copperajah	879	Steel	8	3.0	650.0
dracozolt	880	Electric/Dragon	8	1.8	190.0
arctozolt	881	Electric/Ice	8	2.3	150.0
dracovish	882	Water/Dragon	8	2.3	215.0
arctovish	883	Water/Ice	8	2.0	175.0
duraludon	884	Steel/Dragon	8	1.8	40.0
dreepy	885	Dragon/Ghost	8	0.5	2.0
drakloak	886	Dragon/Ghost	8	1.4	11.0
dragapult	887	Dragon/Ghost	8	3.0	50.0
zacian	888	Fairy	8	2.8	110.0
zamazenta	889	Fighting	8	2.9	210.0
eternatus	890	Poison/Dragon	8	20.0	950.0
kubfu	891	Fighting	8	0.6	12.0
urshifu	892	Fighting/Dark	8	1.9	105.0
zarude	893	Dark/Grass	8	1.8	70.0
regieleki	894	Electric	8	1.2	145.0
regidrago	895	Dragon	8	2.1	200.0
glastrier	896	Ice	8	2.2	800.0
spectrier	897	Ghost	8	2.0	44.5
calyrex	898	Psychic/Grass	8	1.1	7.7
wyrdeer	899	Normal/Psychic	8	1.8	95.1
kleavor	900	Bug/Rock	8	1.8	89.0
ursaluna	901	Ground/Normal	8	2.4	290.0
basculegion	902	Water/Ghost	8	3.0	110.0
sneasler	903	Fighting/Poison	8	1.3	43.0
overqwil	904	Dark/Poison	8	2.5	60.5
enamorus	905	Fairy/Flying	8	1.6	48.0
sprigatito	906	Grass	9	0.4	4.1
floragato	907	Grass	9	0.9	12.2
meowscarada	908	Grass/Dark	9	1.5	31.2
fuecoco	909	Fire	9	0.4	9.8
crocalor	910	Fire	9	1.0	30.7
skeledirge	911	Fire/Ghost	9	1.6	326.5
quaxly	912	Water	9	0.5	6.1
quaxwell	913	Water	9	1.2	21.5
quaquaval	914	Water/Fighting	9	1.8	61.9
lechonk	915	Normal	9	0.5	10.2
oinkologne	916	Normal	9	1.0	120.0
tarountula	917	Bug	9	0.3	4.0
spidops	918	Bug	9	1.0	16.5
nymble	919	Bug	9	0.2	1.0
lokix	920	Bug/Dark	9	1.0	17.5
pawmi	921	Electric	9	0.3	2.5
pawmo	922	Electric/Fighting	9	0.4	6.5
pawmot	923	Electric/Fighting	9	0.9	41.0
tandemaus	924	Normal	9	0.3	1.8
maushold	925	Normal	9	0.3	2.8
fidough	926	Fairy	9	0.3	10.9
dachsbun	927	Fairy	9	0.5	14.9
smoliv	928	Grass/Normal	9	0.3	6.5
dolliv	929	Grass/Normal	9	0.6	11.9
arboliva	930	Grass/Normal	9	1.4	48.2
squawkabilly	931	Normal/Flying	9	0.6	2.4
nacli	932	Rock	9	0.4	16.0
naclstack	933	Rock	9	0.6	105.0
garganacl	934	Rock	9	2.3	240.0
charcadet	935	Fire	9	0.6	10.5
armarouge	936	Fire/Psychic	9	1.5	85.0
ceruledge	937	Fire/Ghost	9	1.6	62.0
tadbulb	938	Electric	9	0.3	0.4
bellibolt	939	Electric	9	1.2	113.0
wattrel	940	Electric/Flying	9	0.4	3.6
kilowattrel	941	Electric/Flying	9	1.4	38.6
maschiff	942	Dark	9	0.5	16.0
mabosstiff	943	Dark	9	1.1	61.0
shroodle	944	Poison/Normal	9	0.2	0.7
grafaiai	945	Poison/Normal	9	0.7	27.2
bramblin	946	Grass/Ghost	9	0.6	0.6
brambleghast	947	Grass/Ghost	9	1.2	6.0
toedscool	948	Ground/Grass	9	0.9	33.0
toedscruel	949	Ground/Grass	9	1.9	58.0
klawf	950	Rock	9	1.3	79.0
capsakid	951	Grass	9	0.3	3.0
scovillain	952	Grass/Fire	9	0.9	15.0
rellor	953	Bug	9	0.2	1.0
rabsca	954	Bug/Psychic	9	0.3	3.5
flittle	955	Psychic	9	0.2	1.5
espathra	956	Psychic	9	1.9	90.0
tinkatink	957	Fairy/Steel	9	0.4	8.9
tinkatuff	958	Fairy/Steel	9	0.7	59.1
tinkaton	959	Fairy/Steel	9	0.7	112.8
wiglett	960	Water	9	1.2	1.8
wugtrio	961	Water	9	1.2	5.4
bombirdier	962	Flying/Dark	9	1.5	42.9
finizen	963	Water	9	1.3	60.2
palafin	964	Water	9	1.3	60.2
varoom	965	Steel/Poison	9	1.0	35.0
revavroom	966	Steel/Poison	9	1.8	120.0
cyclizar	967	Dragon/Normal	9	1.6	63.0
orthworm	968	Steel	9	2.5	310.0
glimmet	969	Rock/Poison	9	0.7	8.0
glimmora	970	Rock/Poison	9	1.5	45.0
greavard	971	Ghost	9	0.6	35.0
houndstone	972	Ghost	9	2.0	15.0
flamigo	973	Flying/Fighting	9	1.6	37.0
cetoddle	974	Ice	9	1.2	45.0
cetitan	975	Ice	9	4.5	700.0
veluza	976	Water/Psychic	9	2.5	90.0
dondozo	977	Water	9	12.0	220.0
tatsugiri	978	Dragon/Water	9	0.3	8.0
annihilape	979	Fighting/Ghost	9	1.2	56.0
clodsire	980	Poison/Ground	9	1.8	223.0
farigiraf	981	Normal/Psychic	9	3.2	160.0
dudunsparce	982	Normal	9	3.6	39.2
kingambit	983	Dark/Steel	9	2.0	120.0
great-tusk	984	Ground/Fighting	9	2.2	320.0
scream-tail	985	Fairy/Psychic	9	1.2	8.0
brute-bonnet	986	Grass/Dark	9	1.2	21.0
flutter-mane	987	Ghost/Fairy	9	1.4	4.0
slither-wing	988	Bug/Fighting	9	3.2	92.0
sandy-shocks	989	Electric/Ground	9	2.3	60.0
iron-treads	990	Ground/Steel	9	0.9	240.0
iron-bundle	991	Ice/Water	9	0.6	11.0
iron-hands	992	Fighting/Electric	9	1.8	380.7
iron-jugulis	993	Dark/Flying	9	1.3	111.0
iron-moth	994	Fire/Poison	9	1.2	36.0
iron-thorns	995	Rock/Electric	9	1.6	303.0
frigibax	996	Dragon/Ice	9	0.5	17.0
arctibax	997	Dragon/Ice	9	0.8	30.0
baxcalibur	998	Dragon/Ice	9	2.1	210.0
gimmighoul	999	Ghost	9	0.3	5.0
gholdengo	1000	Steel/Ghost	9	1.2	30.0
wo-chien	1001	Dark/Grass	9	1.5	74.2
chien-pao	1002	Dark/Ice	9	1.9	152.2
ting-lu	1003	Dark/Ground	9	2.7	699.7
chi-yu	1004	Dark/Fire	9	0.4	4.9
roaring-moon	1005	Dragon/Dark	9	2.0	380.0
iron-valiant	1006	Fairy/Fighting	9	1.4	35.0
koraidon	1007	Fighting/Dragon	9	2.5	303.0
miraidon	1008	Electric/Dragon	9	3.5	240.0
walking-wake	1009	Water/Dragon	9	3.5	280.0
iron-leaves	1010	Grass/Psychic	9	1.5	125.0
dipplin	1011	Grass/Dragon	9	0.4	9.7
poltchageist	1012	Grass/Ghost	9	0.1	1.1
sinistcha	1013	Grass/Ghost	9	0.2	2.2
okidogi	1014	Poison/Fighting	9	1.8	92.2
munkidori	1015	Poison/Psychic	9	1.0	12.2
fezandipiti	1016	Poison/Fairy	9	1.4	30.1
ogerpon	1017	Grass	9	1.2	39.8
archaludon	1018	Steel/Dragon	9	2.0	60.0
hydrapple	1019	Grass/Dragon	9	1.8	93.0
gouging-fire	1020	Fire/Dragon	9	3.5	590.0
raging-bolt	1021	Electric/Dragon	9	5.2	480.0
iron-boulder	1022	Rock/Psychic	9	1.5	162.5
iron-crown	1023	Steel/Psychic	9	1.6	156.0
terapagos	1024	Normal	9	0.2	6.5
pecharunt	1025	Poison/Ghost	9	0.3	0.3
